id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s
1,-100,-60.0,25.0,2.0,1.0,-65.195,99.7,0.24,1.1998
5,-100,-60.0,25.0,2.0,3.0,-67.0633,95.75,3.4,2.617
4,-100,-60.0,25.0,2.0,2.5,-72.125,99.83,0.13,2.2482
6,-100,-60.0,25.0,2.0,3.5,-67.7,93.86,4.92,1.0818
12,-100,-60.0,25.0,2.0,6.5,-73.2567,95.87,3.31,1.4906
8,-100,-60.0,25.0,2.0,4.5,-70.8167,92.0,6.4,1.7051
9,-100,-60.0,25.0,2.0,5.0,-70.7833,92.74,5.81,1.6549
3,-100,-60.0,25.0,2.0,2.0,-65.045,98.71,1.03,1.1195
2,-100,-60.0,25.0,2.0,1.5,-64.82,98.21,1.44,1.1189
10,-100,-60.0,25.0,2.0,5.5,-69.8367,81.58,14.74,0.8433
7,-100,-60.0,25.0,2.0,4.0,-71.0667,85.32,11.74,0.7773
11,-100,-60.0,25.0,2.0,6.0,-73.1,87.16,10.27,0.948
14,-100,-60.0,25.0,2.0,7.5,-73.4433,89.75,8.2,1.422
20,-100,-60.0,25.0,2.25,1.0,-64.4033,93.62,5.1,1.9469
13,-100,-60.0,25.0,2.0,7.0,-71.9067,84.4,12.49,1.0979
22,-100,-60.0,25.0,2.25,2.0,-68.87,94.58,4.34,1.0771
15,-100,-60.0,25.0,2.0,8.0,-72.8367,83.57,13.14,1.0487
16,-100,-60.0,25.0,2.0,8.5,-70.15,75.14,19.89,1.107
21,-100,-60.0,25.0,2.25,1.5,-57.71,76.12,19.11,0.3025
23,-100,-60.0,25.0,2.25,2.5,-68.97,97.79,1.76,1.0984
18,-100,-60.0,25.0,2.0,9.5,-70.3,72.93,21.66,1.1224
24,-100,-60.0,25.0,2.25,3.0,-64.3767,70.19,23.85,0.4391
