id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
2,-100,-120.0,40,1.0,1.5,-87.79,3.4182,-98,76.27,28.48,1.020389,0.663525,2.8771,0.181
12,-100,-120.0,40,1.0,6.5,-87.66,6.9587,-100,77.58,26.9,1.13106,0.772563,4.6891,0.1528
10,-100,-120.0,40,1.0,5.5,-87.8,6.2236,-100,77.48,27.02,1.09263,0.720452,4.1812,0.1466
7,-100,-120.0,40,1.0,4.0,-87.71,5.3368,-100,76.48,28.23,1.042131,0.670669,3.5726,0.1736
9,-100,-120.0,40,1.0,5.0,-87.63,5.7171,-100,77.86,26.58,1.118554,0.724616,4.1103,0.1582
11,-100,-120.0,40,1.0,6.0,-87.8,6.5987,-100,76.88,27.75,1.094022,0.745102,4.9018,0.1318
5,-100,-120.0,40,1.0,3.0,-87.83,4.1253,-100,76.98,27.62,1.08388,0.672294,2.5997,0.1759
3,-100,-120.0,40,1.0,2.0,-87.95,3.6204,-100,77.84,26.58,1.197226,0.8543,6.2258,0.1174
1,-100,-120.0,40,1.0,1.0,-88.0,3.0129,-96,77.21,27.35,1.100164,0.688453,3.2053,0.1716
4,-100,-120.0,40,1.0,2.5,-88.5,3.9108,-100,76.94,27.66,1.153959,0.845949,6.0443,0.1454
8,-100,-120.0,40,1.0,4.5,-87.62,5.715,-100,76.72,27.94,1.080869,0.669788,2.9567,0.1787
6,-100,-120.0,40,1.0,3.5,-88.23,4.8409,-100,78.07,26.32,1.117358,0.700225,3.5269,0.1591
15,-100,-120.0,40,1.0,8.0,-87.25,8.2384,-100,76.73,27.92,1.074351,0.670261,2.9339,0.1874
16,-100,-120.0,40,1.0,8.5,-87.04,8.4094,-100,76.55,28.14,1.085151,0.652649,2.4853,0.1893
13,-100,-120.0,40,1.0,7.0,-87.29,7.4081,-100,77.05,27.54,1.111498,0.673379,2.7703,0.1849
18,-100,-120.0,40,1.0,9.5,-87.18,9.0792,-100,77.95,26.46,1.17179,0.764431,4.4566,0.1431
17,-100,-120.0,40,1.0,9.0,-87.4,8.8166,-100,77.67,26.8,1.162032,0.727002,3.7073,0.1653
23,-100,-120.0,40,1.0,12.0,-86.66,10.6248,-100,77.87,26.56,1.145382,0.686994,2.2907,0.1826
14,-100,-120.0,40,1.0,7.5,-87.49,7.5976,-100,78.29,26.06,1.173839,0.699916,2.778,0.1749
20,-100,-120.0,40,1.0,10.5,-86.71,9.6594,-100,77.38,27.13,1.126638,0.706713,3.5837,0.1693
