id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
5,-100,-120.0,40,1.0,3.0,-85.31,3.2573,-98,4.22,114.95,0.506526,0.28498,3.5458,0.9087
9,-100,-120.0,40,1.0,5.0,-84.93,5.0863,-100,2.21,117.47,0.426666,0.244106,3.0271,0.9177
3,-100,-120.0,40,1.0,2.0,-84.94,2.1959,-94,9.83,108.3,0.542307,0.414936,12.645,0.659
6,-100,-120.0,40,1.0,3.5,-85.96,3.7707,-100,7.0,111.78,0.524381,0.336057,7.1265,0.802
1,-100,-120.0,40,1.0,1.0,-84.48,1.7481,-89,5.73,113.21,0.508126,0.32314,5.8711,0.8463
10,-100,-120.0,40,1.0,5.5,-85.24,5.7001,-100,1.61,118.09,0.393746,0.208263,1.2504,0.9593
7,-100,-120.0,40,1.0,4.0,-84.95,4.133,-100,3.65,115.62,0.448903,0.269642,3.4388,0.8963
4,-100,-120.0,40,1.0,2.5,-85.1,2.9837,-98,3.21,116.14,0.446434,0.264799,3.2271,0.9271
11,-100,-120.0,40,1.0,6.0,-85.23,6.1977,-100,4.22,114.91,0.444352,0.285477,4.447,0.8738
12,-100,-120.0,40,1.0,6.5,-85.02,6.5279,-100,3.04,116.38,0.433185,0.259174,2.2383,0.9414
2,-100,-120.0,40,1.0,1.5,-85.5,1.9799,-94,5.57,113.36,0.487625,0.316317,6.1404,0.8269
8,-100,-120.0,40,1.0,4.5,-85.1,4.5684,-100,3.63,115.83,0.48154,0.279484,2.0739,0.928
17,-100,-120.0,40,1.0,9.0,-84.66,8.6744,-100,1.43,118.28,0.424938,0.232413,0.7652,0.9753
15,-100,-120.0,40,1.0,8.0,-84.54,7.7981,-100,7.48,111.03,0.541239,0.338518,6.2635,0.8296
13,-100,-120.0,40,1.0,7.0,-84.58,7.172,-100,1.98,117.64,0.425897,0.233956,1.9103,0.943
16,-100,-120.0,40,1.0,8.5,-84.75,8.2766,-100,2.12,117.3,0.437732,0.243951,1.069,0.9621
14,-100,-120.0,40,1.0,7.5,-85.46,7.434,-100,2.08,117.59,0.424813,0.232146,1.3252,0.9611
21,-100,-120.0,40,1.0,11.0,-84.45,10.2254,-100,5.55,113.37,0.471624,0.310075,5.1763,0.866
24,-100,-120.0,40,1.0,12.5,-84.24,11.3123,-100,3.32,116.17,0.463076,0.274447,3.8033,0.8913
23,-100,-120.0,40,1.0,12.0,-85.1,10.8283,-100,3.06,116.31,0.452508,0.2669,2.7324,0.9201
20,-100,-120.0,40,1.0,10.5,-84.97,9.7835,-100,4.55,114.7,0.476468,0.295947,4.322,0.8765
22,-100,-120.0,40,1.0,11.5,-84.15,10.6049,-100,3.14,116.24,0.428979,0.268569,1.8323,0.9461
19,-100,-120.0,40,1.0,10.0,-84.42,9.5052,-100,3.21,116.24,0.438315,0.260718,3.4741,0.8987
18,-100,-120.0,40,1.0,9.5,-85.09,9.1993,-100,1.86,117.83,0.399107,0.221306,1.1761,0.9593
27,-100,-120.0,40,1.0,14.0,-83.81,12.3593,-100,3.32,116.08,0.444553,0.269012,1.3701,0.9421
28,-100,-120.0,40,1.25,1.0,-81.54,2.0471,-88,5.48,113.38,0.476403,0.316836,5.962,0.8339
29,-100,-120.0,40,1.25,1.5,-81.23,2.1508,-89,3.26,116.08,0.446383,0.261354,3.6761,0.8963
25,-100,-120.0,40,1.0,13.0,-84.5,11.575,-100,2.87,116.67,0.449086,0.256657,2.1049,0.9465
26,-100,-120.0,40,1.0,13.5,-83.87,12.0543,-100,3.55,115.9,0.468998,0.264369,2.9319,0.9221
35,-100,-120.0,40,1.25,4.5,-81.75,4.7458,-100,1.94,117.75,0.431362,0.236911,1.6985,0.9517
34,-100,-120.0,40,1.25,4.0,-81.06,4.185,-97,5.42,113.6,0.468912,0.311895,5.3845,0.8678
30,-100,-120.0,40,1.25,2.0,-81.15,2.3262,-90,1.77,117.97,0.411624,0.221874,0.9473,0.9673
32,-100,-120.0,40,1.25,3.0,-81.83,3.137,-94,2.12,117.49,0.426372,0.235418,1.5573,0.96
36,-100,-120.0,40,1.25,5.0,-81.38,5.2177,-100,1.52,118.22,0.425667,0.2181,1.2663,0.96
31,-100,-120.0,40,1.25,2.5,-81.99,3.1938,-95,3.97,115.15,0.470064,0.288686,2.5381,0.9187
33,-100,-120.0,40,1.25,3.5,-80.76,3.8497,-96,2.18,117.4,0.428251,0.233813,0.7687,0.9667
40,-100,-120.0,40,1.25,7.0,-81.12,7.0467,-100,2.13,117.29,0.443767,0.250512,1.3762,0.958
