id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s
2,-100,-60.0,25.0,2.0,2.5,-69.6967,99.39,0.49,4.0083
3,-100,-60.0,25.0,2.0,4.0,-71.6267,99.32,0.54,1.5372
1,-100,-60.0,25.0,2.0,1.0,-66.75,99.96,0.03,1.2143
5,-100,-60.0,25.0,2.0,7.0,-69.6733,80.9,15.28,1.2453
9,-100,-60.0,25.0,2.5,2.5,-63.8833,78.32,17.35,0.6298
6,-100,-60.0,25.0,2.0,8.5,-69.3467,75.01,19.99,1.1099
8,-100,-60.0,25.0,2.5,1.0,-64.0633,87.88,9.7,1.142
4,-100,-60.0,25.0,2.0,5.5,-69.26,81.52,14.78,0.9625
11,-100,-60.0,25.0,2.5,5.5,-68.6967,76.08,19.14,0.6947
10,-100,-60.0,25.0,2.5,4.0,-64.5533,78.96,16.83,0.8354
7,-100,-60.0,25.0,2.0,10.0,-72.8233,75.92,19.27,1.1318
12,-100,-60.0,25.0,2.5,7.0,-64.07,51.92,38.47,0.7316
14,-100,-60.0,25.0,2.5,10.0,-69.32,71.58,22.74,1.2165
13,-100,-60.0,25.0,2.5,8.5,-64.14,55.03,35.98,0.7115
16,-100,-60.0,25.0,3.0,2.5,-58.36,45.91,43.27,0.4547
15,-100,-60.0,25.0,3.0,1.0,-57.2167,48.81,40.96,0.3986
18,-100,-60.0,25.0,3.0,5.5,-57.5433,40.02,47.99,0.5126
17,-100,-60.0,25.0,3.0,4.0,-57.5,32.67,53.87,0.3542
19,-100,-60.0,25.0,3.0,7.0,-57.9467,37.84,49.72,0.4683
22,-100,-60.0,25.0,3.5,1.0,-51.4367,21.58,62.74,0.1836
20,-100,-60.0,25.0,3.0,8.5,-57.4567,38.26,49.39,0.5503
23,-100,-60.0,25.0,3.5,2.5,-51.86,24.55,60.36,0.2127
21,-100,-60.0,25.0,3.0,10.0,-59.6267,35.27,51.79,0.4463
24,-100,-60.0,25.0,3.5,4.0,-52.1567,30.31,55.76,0.3934
25,-100,-60.0,25.0,3.5,5.5,-52.1067,26.28,58.98,0.3463
26,-100,-60.0,25.0,3.5,7.0,-51.2733,24.63,60.3,0.312
27,-100,-60.0,25.0,3.5,8.5,-49.08,20.49,63.62,0.2394
29,-100,-60.0,25.0,4.0,1.0,-46.1467,23.61,61.12,0.2027
30,-100,-60.0,25.0,4.0,2.5,-44.3867,20.04,63.97,0.1572
31,-100,-60.0,25.0,4.0,4.0,-47.06,20.01,63.99,0.1599
28,-100,-60.0,25.0,3.5,10.0,-52.12,24.24,60.62,0.3329
32,-100,-60.0,25.0,4.0,5.5,-44.6467,20.02,63.98,0.1446
33,-100,-60.0,25.0,4.0,7.0,-43.13,20.05,63.97,0.1717
36,-100,-60.0,30.0,2.0,1.0,-65.385,90.17,7.87,1.0258
34,-100,-60.0,25.0,4.0,8.5,-48.15,20.16,63.88,0.2279
35,-100,-60.0,25.0,4.0,10.0,-44.47,20.04,63.98,0.1923
38,-100,-60.0,30.0,2.0,4.0,-68.96,90.93,7.26,1.5781
39,-100,-60.0,30.0,2.0,5.5,-70.5433,92.12,6.3,1.5738
37,-100,-60.0,30.0,2.0,2.5,-68.75,97.61,1.91,1.0224
43,-100,-60.0,30.0,2.5,1.0,-62.0433,72.38,22.1,0.3168
40,-100,-60.0,30.0,2.0,7.0,-70.1933,75.1,19.92,0.9819
41,-100,-60.0,30.0,2.0,8.5,-70.1233,67.78,25.77,0.8251
44,-100,-60.0,30.0,2.5,2.5,-62.6767,70.58,23.54,0.3814
42,-100,-60.0,30.0,2.0,10.0,-70.57,67.82,25.74,0.9532
46,-100,-60.0,30.0,2.5,5.5,-63.3167,52.21,38.24,0.5184
45,-100,-60.0,30.0,2.5,4.0,-62.0467,53.97,36.83,0.4636
47,-100,-60.0,30.0,2.5,7.0,-60.6467,40.59,47.54,0.5013
48,-100,-60.0,30.0,2.5,8.5,-62.5833,42.78,45.79,0.6399
49,-100,-60.0,30.0,2.5,10.0,-66.4933,52.76,37.8,0.7613
50,-100,-60.0,30.0,3.0,1.0,-55.0033,39.5,48.41,0.2817
51,-100,-60.0,30.0,3.0,2.5,-57.2767,38.67,49.07,0.2701
52,-100,-60.0,30.0,3.0,4.0,-53.4533,28.86,56.92,0.3017
54,-100,-60.0,30.0,3.0,7.0,-57.7433,44.78,44.18,0.4546
58,-100,-60.0,30.0,3.5,2.5,-47.7767,20.04,63.97,0.1394
53,-100,-60.0,30.0,3.0,5.5,-55.4433,24.55,60.37,0.3418
57,-100,-60.0,30.0,3.5,1.0,-49.8233,20.8,63.36,0.1789
55,-100,-60.0,30.0,3.0,8.5,-55.0233,25.82,59.34,0.3815
56,-100,-60.0,30.0,3.0,10.0,-57.41,24.84,60.13,0.4053
59,-100,-60.0,30.0,3.5,4.0,-49.1667,20.53,63.59,0.2329
60,-100,-60.0,30.0,3.5,5.5,-49.9467,20.65,63.48,0.2067
61,-100,-60.0,30.0,3.5,7.0,-52.2767,23.31,61.36,0.3323
62,-100,-60.0,30.0,3.5,8.5,-48.7833,20.37,63.71,0.2637
63,-100,-60.0,30.0,3.5,10.0,-49.7233,20.11,63.93,0.2639
64,-100,-60.0,30.0,4.0,1.0,-42.53,20.02,63.98,0.1437
71,-100,-60.0,35.0,2.0,1.0,-65.4733,99.0,0.8,3.6649
65,-100,-60.0,30.0,4.0,2.5,-38.2933,20.04,63.98,0.1947
68,-100,-60.0,30.0,4.0,7.0,-44.2033,20.04,63.98,0.1663
67,-100,-60.0,30.0,4.0,5.5,-41.3233,20.04,63.98,0.1679
