id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
2,-100,-120.0,30.0,1.0,2.5,-89.14,4.2294,-100,77.16,27.4,1.069638,0.69873,3.9177,0.1625
1,-100,-120.0,30.0,1.0,1.0,-89.31,3.2108,-98,76.74,27.92,1.112558,0.727311,4.2247,0.1753
8,-100,-120.0,30.0,1.0,11.5,-87.68,10.1259,-100,76.32,28.41,1.11876,0.704728,4.4352,0.1601
4,-100,-120.0,30.0,1.0,5.5,-89.09,6.0042,-100,77.94,26.47,1.181092,0.739973,4.0857,0.1365
3,-100,-120.0,30.0,1.0,4.0,-88.93,5.035,-100,78.11,26.27,1.184257,0.706599,2.7817,0.1701
6,-100,-120.0,30.0,1.0,8.5,-88.58,8.2009,-100,78.06,26.32,1.157017,0.724617,3.6312,0.1641
12,-100,-120.0,30.0,1.25,4.0,-86.41,5.9167,-100,77.52,26.98,1.078943,0.694988,3.735,0.1817
10,-100,-120.0,30.0,1.25,1.0,-86.72,4.2266,-96,77.24,27.31,1.104508,0.702821,3.6319,0.1698
9,-100,-120.0,30.0,1.0,13.0,-86.81,11.3089,-100,78.0,26.4,1.235473,0.73462,2.9871,0.1779
11,-100,-120.0,30.0,1.25,2.5,-86.54,4.486,-100,76.76,27.88,1.063157,0.700925,4.2848,0.1669
7,-100,-120.0,30.0,1.0,10.0,-88.16,9.1119,-100,77.64,26.83,1.197558,0.708728,2.6936,0.1764
5,-100,-120.0,30.0,1.0,7.0,-88.9,7.2949,-100,78.27,26.07,1.187121,0.689488,2.1565,0.1837
14,-100,-120.0,30.0,1.25,7.0,-85.84,7.9523,-100,77.22,27.33,1.123914,0.720536,3.9637,0.1815
13,-100,-120.0,30.0,1.25,5.5,-86.91,6.6978,-100,77.42,27.1,1.110889,0.699024,3.1374,0.1719
17,-100,-120.0,30.0,1.25,11.5,-85.66,10.7205,-100,77.48,27.03,1.220964,0.734764,3.5773,0.1839
19,-100,-120.0,30.0,1.5,1.0,-84.33,4.6959,-95,76.68,27.98,1.02506,0.669416,3.9767,0.1741
15,-100,-120.0,30.0,1.25,8.5,-85.97,8.552,-100,77.49,27.01,1.103297,0.752724,4.4623,0.1412
16,-100,-120.0,30.0,1.25,10.0,-85.63,9.832,-100,77.51,26.99,1.126424,0.711498,3.8932,0.1453
21,-100,-120.0,30.0,1.5,4.0,-84.22,5.8411,-100,76.96,27.65,1.045259,0.670702,3.4209,0.1644
22,-100,-120.0,30.0,1.5,5.5,-83.25,7.2315,-100,76.58,28.12,1.024342,0.657779,3.3998,0.1821
18,-100,-120.0,30.0,1.25,13.0,-85.12,11.6971,-100,78.09,26.29,1.16369,0.680916,2.2985,0.1671
24,-100,-120.0,30.0,1.5,8.5,-84.07,9.0785,-100,76.35,28.38,1.081186,0.691765,4.0129,0.1705
20,-100,-120.0,30.0,1.5,2.5,-84.32,5.0906,-99,76.82,27.83,1.073494,0.658636,2.8381,0.1928
23,-100,-120.0,30.0,1.5,7.0,-83.75,8.2151,-100,77.38,27.14,1.088768,0.703288,3.9036,0.152
25,-100,-120.0,30.0,1.5,10.0,-83.74,10.1848,-100,77.46,27.05,1.129415,0.686895,2.8767,0.1692
26,-100,-120.0,30.0,1.5,11.5,-83.06,11.3444,-100,76.91,27.71,1.109858,0.679659,3.0853,0.1778
28,-100,-120.0,30.0,1.75,1.0,-81.69,4.8814,-91,76.54,28.16,1.022222,0.631916,2.7145,0.1905
34,-100,-120.0,30.0,1.75,10.0,-80.95,10.8537,-100,76.64,28.03,1.048593,0.674424,3.679,0.1705
29,-100,-120.0,30.0,1.75,2.5,-81.83,6.0192,-98,75.9,28.92,0.979367,0.62658,3.2205,0.1949
27,-100,-120.0,30.0,1.5,13.0,-82.61,12.6912,-100,77.62,26.86,1.153369,0.717312,3.6243,0.1727
31,-100,-120.0,30.0,1.75,5.5,-81.63,7.6382,-100,77.02,27.57,0.995173,0.642234,3.2522,0.1873
30,-100,-120.0,30.0,1.75,4.0,-81.16,6.3684,-100,76.63,28.04,1.05891,0.670487,3.8381,0.1697
33,-100,-120.0,30.0,1.75,8.5,-81.07,9.6968,-100,76.46,28.25,1.018634,0.631819,2.2878,0.1946
32,-100,-120.0,30.0,1.75,7.0,-81.17,8.4787,-100,76.9,27.72,1.118033,0.736967,4.7525,0.172
36,-100,-120.0,30.0,1.75,13.0,-80.67,13.085,-100,76.83,27.81,1.075363,0.660765,2.6366,0.1911
35,-100,-120.0,30.0,1.75,11.5,-80.82,11.7452,-100,78.31,26.03,1.210674,0.75037,3.6742,0.1429
37,-100,-120.0,30.0,2.0,1.0,-78.95,6.3794,-91,76.32,28.42,1.055226,0.706552,4.4849,0.1572
38,-100,-120.0,30.0,2.0,2.5,-78.91,6.436,-97,76.58,28.1,1.07516,0.700156,3.8941,0.1666
39,-100,-120.0,30.0,2.0,4.0,-78.38,6.7831,-100,76.45,28.26,1.066095,0.756892,5.8846,0.1329
41,-100,-120.0,30.0,2.0,7.0,-78.99,9.0016,-100,76.97,27.64,1.093102,0.712085,4.2935,0.1491
40,-100,-120.0,30.0,2.0,5.5,-78.92,7.8619,-100,76.72,27.93,1.106144,0.743684,4.9267,0.1606
45,-100,-120.0,30.0,2.0,13.0,-78.36,13.3854,-100,76.99,27.62,1.042487,0.70142,4.4098,0.1668
42,-100,-120.0,30.0,2.0,8.5,-78.33,10.029,-100,76.86,27.77,1.121562,0.834671,6.2322,0.1192
47,-100,-120.0,30.0,2.25,2.5,-76.21,7.7795,-93,75.8,29.03,1.038929,0.77152,6.18,0.1472
43,-100,-120.0,30.0,2.0,10.0,-78.22,11.3458,-100,76.03,28.76,0.984313,0.709158,5.0945,0.1343
44,-100,-120.0,30.0,2.0,11.5,-78.15,12.3849,-100,76.25,28.51,1.00985,0.637256,3.224,0.1808
46,-100,-120.0,30.0,2.25,1.0,-76.67,6.6111,-90,76.39,28.34,0.989231,0.602266,2.2378,0.18
48,-100,-120.0,30.0,2.25,4.0,-75.98,7.8322,-97,75.81,29.03,0.958883,0.633725,3.7743,0.1774
49,-100,-120.0,30.0,2.25,5.5,-76.25,8.5876,-100,77.26,27.28,1.139429,0.799138,5.7036,0.1519
50,-100,-120.0,30.0,2.25,7.0,-76.43,9.5591,-100,76.99,27.62,1.083828,0.702178,4.1265,0.1724
51,-100,-120.0,30.0,2.25,8.5,-76.4,10.3816,-100,76.69,27.98,1.036694,0.671884,3.6763,0.1579
52,-100,-120.0,30.0,2.25,10.0,-75.57,11.9716,-100,77.07,27.52,1.043619,0.664207,3.4207,0.1711
57,-100,-120.0,30.0,2.5,4.0,-73.98,8.6396,-100,74.98,30.03,0.941127,0.632208,4.1875,0.1833
54,-100,-120.0,30.0,2.25,13.0,-75.38,14.108,-100,77.42,27.09,1.059501,0.676916,3.6057,0.1715
55,-100,-120.0,30.0,2.5,1.0,-74.41,7.2686,-88,76.82,27.81,1.034444,0.670689,4.0578,0.1634
59,-100,-120.0,30.0,2.5,7.0,-74.05,9.8881,-100,76.57,28.12,0.986726,0.61566,2.2846,0.2108
53,-100,-120.0,30.0,2.25,11.5,-75.92,12.9531,-100,75.91,28.91,0.988002,0.648925,3.3176,0.1772
58,-100,-120.0,30.0,2.5,5.5,-73.31,9.7193,-100,76.76,27.89,0.981475,0.649746,3.8403,0.159
56,-100,-120.0,30.0,2.5,2.5,-74.16,8.039,-92,76.28,28.45,1.002571,0.655982,3.5341,0.1797
60,-100,-120.0,30.0,2.5,8.5,-73.95,11.1148,-100,76.46,28.25,1.021998,0.691039,4.7308,0.1573
61,-100,-120.0,30.0,2.5,10.0,-72.98,12.2392,-100,75.82,29.02,1.037843,0.700893,4.4225,0.1683
62,-100,-120.0,30.0,2.5,11.5,-73.79,13.1771,-100,76.79,27.86,1.031252,0.648152,2.7754,0.1895
63,-100,-120.0,30.0,2.5,13.0,-73.67,14.3829,-100,76.46,28.25,1.000236,0.653676,3.9745,0.1782
66,-100,-120.0,30.0,2.75,4.0,-71.07,8.7362,-98,76.39,28.33,0.978892,0.648384,3.5862,0.1513
64,-100,-120.0,30.0,2.75,1.0,-71.44,7.4991,-84,76.28,28.47,1.019414,0.620234,2.1091,0.1918
65,-100,-120.0,30.0,2.75,2.5,-71.13,8.2643,-92,76.86,27.77,1.02835,0.658968,2.6881,0.1815
67,-100,-120.0,30.0,2.75,5.5,-70.89,9.5296,-99,76.52,28.18,0.99018,0.648747,3.3901,0.171
69,-100,-120.0,30.0,2.75,8.5,-70.73,11.7206,-100,76.37,28.36,1.026724,0.718335,4.609,0.1491
68,-100,-120.0,30.0,2.75,7.0,-70.7,11.0535,-100,76.85,27.78,1.03838,0.667655,3.3244,0.1728
71,-100,-120.0,30.0,2.75,11.5,-70.76,13.9312,-100,76.81,27.82,1.016288,0.708147,4.9365,0.1303
70,-100,-120.0,30.0,2.75,10.0,-70.93,12.6233,-100,76.46,28.26,0.981663,0.662686,3.9993,0.1624
72,-100,-120.0,30.0,2.75,13.0,-70.6,15.1361,-100,76.17,28.59,0.993317,0.643833,3.2266,0.1836
73,-100,-120.0,30.0,3.0,1.0,-68.62,8.6803,-83,76.21,28.56,1.007303,0.629157,3.0869,0.1896
76,-100,-120.0,30.0,3.0,5.5,-68.36,10.4593,-100,76.49,28.21,0.97772,0.629776,3.2695,0.192
74,-100,-120.0,30.0,3.0,2.5,-68.6,9.2312,-89,76.95,27.67,1.004537,0.644819,3.0086,0.1768
75,-100,-120.0,30.0,3.0,4.0,-68.23,9.6084,-92,76.8,27.85,1.01487,0.666728,3.8122,0.1606
77,-100,-120.0,30.0,3.0,7.0,-68.6,11.4147,-100,76.38,28.34,0.983808,0.601668,2.0768,0.2009
80,-100,-120.0,30.0,3.0,11.5,-68.14,14.4702,-100,76.43,28.29,1.026348,0.654102,3.482,0.1821
83,-100,-120.0,30.0,3.25,2.5,-66.15,9.8215,-87,76.3,28.44,0.98851,0.661689,4.0941,0.1776
84,-100,-120.0,30.0,3.25,4.0,-65.71,10.1366,-94,77.16,27.41,1.022397,0.667463,3.2709,0.1595
79,-100,-120.0,30.0,3.0,10.0,-68.33,12.9481,-100,75.95,28.86,0.971195,0.608436,2.5596,0.192
78,-100,-120.0,30.0,3.0,8.5,-68.53,12.1718,-100,77.09,27.5,1.056468,0.7411,5.1013,0.1427
81,-100,-120.0,30.0,3.0,13.0,-68.0,15.3491,-100,76.73,27.93,1.016473,0.64629,3.186,0.1848
82,-100,-120.0,30.0,3.25,1.0,-65.62,9.0575,-81,76.76,27.89,1.01625,0.61795,2.0982,0.2009
85,-100,-120.0,30.0,3.25,5.5,-65.76,10.2625,-100,76.35,28.39,1.004041,0.653768,3.5817,0.1798
91,-100,-120.0,30.0,3.5,1.0,-63.67,10.5819,-80,76.47,28.23,1.00139,0.665508,4.4708,0.1735
86,-100,-120.0,30.0,3.25,7.0,-65.81,11.9273,-100,76.16,28.61,0.959009,0.612453,3.2885,0.1804
87,-100,-120.0,30.0,3.25,8.5,-65.97,12.7129,-100,75.68,29.19,0.976562,0.634952,3.279,0.1848
90,-100,-120.0,30.0,3.25,13.0,-65.79,16.0101,-100,75.03,29.97,0.896885,0.637618,4.9094,0.1741
93,-100,-120.0,30.0,3.5,4.0,-63.7,10.6242,-92,76.14,28.63,0.977856,0.62701,2.9286,0.1926
92,-100,-120.0,30.0,3.5,2.5,-63.55,9.9404,-82,76.43,28.28,1.001974,0.729322,5.8924,0.1472
95,-100,-120.0,30.0,3.5,7.0,-63.66,12.5235,-100,76.4,28.33,0.982595,0.645708,3.5184,0.1763
89,-100,-120.0,30.0,3.25,11.5,-65.37,14.7037,-100,76.64,28.03,0.980995,0.642836,3.4591,0.1553
96,-100,-120.0,30.0,3.5,8.5,-63.42,12.7721,-100,76.16,28.6,0.944993,0.601233,2.8522,0.1747
88,-100,-120.0,30.0,3.25,10.0,-66.03,13.6408,-100,76.46,28.24,0.965198,0.642321,3.8886,0.1725
94,-100,-120.0,30.0,3.5,5.5,-63.16,11.1514,-94,76.26,28.49,0.967912,0.629563,3.6053,0.1713
97,-100,-120.0,30.0,3.5,10.0,-63.13,13.8311,-100,76.75,27.89,1.021319,0.690522,4.179,0.1476
103,-100,-120.0,30.0,3.75,5.5,-60.96,11.8042,-94,76.31,28.42,0.98773,0.680435,4.4448,0.1704
107,-100,-120.0,30.0,3.75,11.5,-60.37,15.2967,-100,75.97,28.83,0.984748,0.660729,3.6935,0.191
99,-100,-120.0,30.0,3.5,13.0,-63.35,16.251,-100,76.38,28.34,0.96644,0.637519,3.6483,0.1809
101,-100,-120.0,30.0,3.75,2.5,-60.55,10.8377,-84,76.49,28.2,0.97034,0.617488,2.875,0.1966
98,-100,-120.0,30.0,3.5,11.5,-63.23,15.0037,-100,76.66,28.01,0.995249,0.633588,3.3136,0.1779
100,-100,-120.0,30.0,3.75,1.0,-60.66,10.6154,-81,76.78,27.87,1.029265,0.646685,3.4572,0.1734
108,-100,-120.0,30.0,3.75,13.0,-61.21,16.6422,-100,76.46,28.25,1.049118,0.723565,5.2788,0.1682
102,-100,-120.0,30.0,3.75,4.0,-61.4,11.3081,-90,76.66,28.0,1.018819,0.633804,2.8734,0.1824
105,-100,-120.0,30.0,3.75,8.5,-60.48,13.6178,-100,76.72,27.94,1.009306,0.660146,3.9548,0.1798
104,-100,-120.0,30.0,3.75,7.0,-61.01,12.9149,-99,76.31,28.43,1.008739,0.668764,3.9494,0.155
106,-100,-120.0,30.0,3.75,10.0,-60.55,14.556,-100,76.58,28.11,0.994636,0.625289,2.7041,0.1874
109,-100,-120.0,30.0,4.0,1.0,-58.18,12.2245,-79,76.68,27.99,1.010939,0.639466,3.4191,0.1614
110,-100,-120.0,30.0,4.0,2.5,-58.39,11.078,-84,77.21,27.35,1.126745,0.781953,5.9061,0.1486
112,-100,-120.0,30.0,4.0,5.5,-58.28,12.6712,-92,75.85,28.98,0.984431,0.698769,5.1174,0.1444
115,-100,-120.0,30.0,4.0,10.0,-58.42,15.3607,-100,76.36,28.37,1.06308,0.753445,5.6761,0.1397
111,-100,-120.0,30.0,4.0,4.0,-58.74,11.8219,-88,76.0,28.79,0.981216,0.630579,3.2318,0.1774
113,-100,-120.0,30.0,4.0,7.0,-58.07,13.3182,-98,76.37,28.36,1.021241,0.642906,3.0414,0.1863
114,-100,-120.0,30.0,4.0,8.5,-58.11,13.9169,-100,76.56,28.13,1.012737,0.641765,3.1216,0.1787
116,-100,-120.0,30.0,4.0,11.5,-58.54,16.0441,-100,76.48,28.23,1.052572,0.721308,4.9868,0.1541
117,-100,-120.0,30.0,4.0,13.0,-58.0,17.2029,-100,75.73,29.13,0.979599,0.620644,3.1354,0.1874
118,-100,-120.0,30.0,4.25,1.0,-55.75,11.2862,-76,76.79,27.85,1.057609,0.71679,4.9382,0.151
119,-100,-120.0,30.0,4.25,2.5,-55.76,12.5527,-79,76.54,28.15,1.005415,0.622521,2.6757,0.1998
120,-100,-120.0,30.0,4.25,4.0,-55.23,12.7989,-85,76.14,28.63,0.992298,0.642487,3.2483,0.1807
121,-100,-120.0,30.0,4.25,5.5,-55.3,13.3908,-89,76.7,27.96,1.06518,0.698917,4.447,0.1648
122,-100,-120.0,30.0,4.25,7.0,-55.54,13.7677,-100,76.19,28.57,0.951479,0.637361,4.2893,0.1595
