id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
12,-100,-120.0,40,1.0,6.5,-86.77,7.649,-100,40.1,92.46,1.243109,0.838628,15.8802,0.3264
4,-100,-120.0,40,1.0,2.5,-85.92,4.764,-100,36.0,98.75,1.107037,0.72492,16.0758,0.442
2,-100,-120.0,40,1.0,1.5,-86.35,4.257,-98,41.46,90.3,1.297058,0.770689,12.7026,0.45
8,-100,-120.0,40,1.0,4.5,-86.16,5.8009,-100,38.34,95.13,1.19318,0.755753,14.6682,0.4462
3,-100,-120.0,40,1.0,2.0,-86.49,4.32,-99,33.14,103.18,1.029517,0.610604,8.8523,0.5892
6,-100,-120.0,40,1.0,3.5,-87.65,5.4703,-100,38.24,95.28,1.183949,0.711764,10.7191,0.405
1,-100,-120.0,40,1.0,1.0,-87.2,3.9435,-97,37.51,96.44,1.15226,0.666449,8.6388,0.4748
9,-100,-120.0,40,1.0,5.0,-86.44,6.5307,-100,39.59,93.18,1.222407,0.670179,5.8502,0.5211
11,-100,-120.0,40,1.0,6.0,-86.83,6.6377,-100,40.53,91.77,1.23645,0.715184,8.8577,0.462
7,-100,-120.0,40,1.0,4.0,-86.39,5.4112,-100,34.91,100.37,1.066274,0.642931,10.9752,0.5002
5,-100,-120.0,40,1.0,3.0,-87.2,4.3259,-100,36.75,97.59,1.129948,0.643693,8.6281,0.5009
10,-100,-120.0,40,1.0,5.5,-87.39,6.8074,-100,37.86,95.93,1.15901,0.661348,10.6003,0.4527
15,-100,-120.0,40,1.0,8.0,-86.99,8.4253,-100,42.18,89.24,1.320494,0.790373,11.7513,0.3946
13,-100,-120.0,40,1.0,7.0,-87.64,7.4195,-100,38.02,95.62,1.167575,0.754449,14.0429,0.4314
17,-100,-120.0,40,1.0,9.0,-87.11,8.8934,-100,39.02,94.1,1.202975,0.672953,7.7047,0.4892
21,-100,-120.0,40,1.0,11.0,-86.61,10.1725,-100,39.82,92.86,1.220166,0.722685,11.853,0.4632
24,-100,-120.0,40,1.0,12.5,-86.66,10.9165,-100,42.16,89.25,1.310891,0.736809,8.0873,0.4268
18,-100,-120.0,40,1.0,9.5,-87.02,9.1612,-100,39.27,93.7,1.205965,0.685775,9.1481,0.5216
16,-100,-120.0,40,1.0,8.5,-87.11,8.5895,-100,37.19,96.92,1.125255,0.658358,10.3458,0.4419
14,-100,-120.0,40,1.0,7.5,-86.62,7.9247,-100,33.62,102.46,1.005053,0.584749,8.9408,0.5405
23,-100,-120.0,40,1.0,12.0,-85.41,11.1705,-100,39.56,93.28,1.214017,0.728154,11.4193,0.3835
22,-100,-120.0,40,1.0,11.5,-85.44,10.6853,-100,41.68,89.93,1.29461,0.756922,11.1054,0.3637
20,-100,-120.0,40,1.0,10.5,-86.22,10.0383,-100,38.57,94.82,1.14801,0.697568,10.5509,0.5143
19,-100,-120.0,40,1.0,10.0,-86.62,9.8248,-100,35.12,100.16,1.073041,0.652799,11.0347,0.5265
25,-100,-120.0,40,1.0,13.0,-85.33,11.68,-100,36.73,97.64,1.117723,0.719107,12.4641,0.4372
26,-100,-120.0,40,1.0,13.5,-84.76,12.2288,-100,42.08,89.35,1.297353,0.788882,11.7933,0.3836
30,-100,-120.0,40,1.25,2.0,-83.26,4.994,-98,34.46,101.11,1.035334,0.716413,15.5881,0.4363
27,-100,-120.0,40,1.0,14.0,-85.86,12.1943,-100,39.02,94.12,1.209601,0.67552,8.7546,0.4979
29,-100,-120.0,40,1.25,1.5,-83.79,4.5728,-97,32.23,104.54,1.025081,0.679217,14.2399,0.4458
31,-100,-120.0,40,1.25,2.5,-83.18,5.3511,-100,38.33,95.16,1.173827,0.709883,13.5698,0.4644
33,-100,-120.0,40,1.25,3.5,-82.93,5.966,-100,38.25,95.25,1.201054,0.763159,15.3795,0.4247
32,-100,-120.0,40,1.25,3.0,-83.29,5.6341,-100,35.98,98.82,1.131738,0.671208,7.6405,0.4456
34,-100,-120.0,40,1.25,4.0,-83.21,6.0347,-100,37.12,97.02,1.157428,0.714959,12.5474,0.405
28,-100,-120.0,40,1.25,1.0,-83.91,4.1429,-94,33.54,102.57,1.054428,0.668244,13.1387,0.4693
35,-100,-120.0,40,1.25,4.5,-84.55,6.508,-100,35.31,99.83,1.093979,0.630077,6.7573,0.5358
36,-100,-120.0,40,1.25,5.0,-83.53,6.8189,-100,37.06,97.15,1.133058,0.730551,14.1236,0.3833
38,-100,-120.0,40,1.25,6.0,-83.39,7.4906,-100,38.21,95.34,1.199608,0.671427,8.4854,0.4746
42,-100,-120.0,40,1.25,8.0,-82.39,9.0503,-100,41.83,89.76,1.311544,0.804058,13.278,0.3652
46,-100,-120.0,40,1.25,10.0,-82.9,10.2568,-100,35.89,98.91,1.127018,0.682318,11.0206,0.451
40,-100,-120.0,40,1.25,7.0,-82.83,8.6383,-100,37.98,95.69,1.175795,0.696911,9.2311,0.4985
37,-100,-120.0,40,1.25,5.5,-84.06,6.8479,-100,37.16,96.97,1.14368,0.66012,8.3125,0.5528
39,-100,-120.0,40,1.25,6.5,-83.29,8.0741,-100,37.3,96.75,1.157623,0.715218,11.1839,0.3696
41,-100,-120.0,40,1.25,7.5,-83.68,8.7457,-100,34.51,101.06,1.076528,0.706312,14.6079,0.4145
45,-100,-120.0,40,1.25,9.5,-83.57,10.1392,-100,38.38,95.07,1.198238,0.636874,5.6769,0.4927
44,-100,-120.0,40,1.25,9.0,-82.62,9.8104,-100,37.77,96.02,1.172104,0.666752,8.7402,0.5321
43,-100,-120.0,40,1.25,8.5,-83.76,9.237,-100,40.63,91.6,1.269524,0.719318,9.1667,0.4543
47,-100,-120.0,40,1.25,10.5,-83.29,11.0161,-100,36.76,97.58,1.103076,0.699267,13.0037,0.4462
48,-100,-120.0,40,1.25,11.0,-82.93,11.2946,-100,40.51,91.86,1.237537,0.694718,7.9896,0.4815
49,-100,-120.0,40,1.25,11.5,-84.36,11.0908,-100,36.33,98.23,1.138063,0.71854,12.2291,0.464
51,-100,-120.0,40,1.25,12.5,-83.27,12.1009,-100,38.47,94.97,1.176494,0.691318,10.1863,0.4788
50,-100,-120.0,40,1.25,12.0,-83.48,11.6866,-100,37.18,96.94,1.152485,0.639275,4.179,0.5607
52,-100,-120.0,40,1.25,13.0,-82.59,12.4557,-100,39.08,94.04,1.198172,0.687278,9.6753,0.4608
53,-100,-120.0,40,1.25,13.5,-82.6,12.7316,-100,35.47,99.56,1.085934,0.627158,9.816,0.4993
54,-100,-120.0,40,1.25,14.0,-82.21,13.1783,-100,37.58,96.33,1.147187,0.70674,10.6526,0.447
56,-100,-120.0,40,1.5,1.5,-80.64,6.5359,-96,34.58,100.99,1.082611,0.666737,12.1755,0.5006
55,-100,-120.0,40,1.5,1.0,-81.02,5.4015,-92,32.35,104.37,1.021725,0.586022,8.7432,0.561
57,-100,-120.0,40,1.5,2.0,-81.75,5.5962,-96,34.53,101.03,1.067817,0.645514,11.7302,0.4873
58,-100,-120.0,40,1.5,2.5,-81.39,6.858,-100,33.51,102.6,1.030234,0.60115,9.369,0.4682
59,-100,-120.0,40,1.5,3.0,-81.19,6.4478,-99,35.72,99.14,1.129219,0.665312,9.7349,0.5017
60,-100,-120.0,40,1.5,3.5,-80.93,6.3939,-100,36.46,98.06,1.138029,0.673551,9.2346,0.5009
61,-100,-120.0,40,1.5,4.0,-80.78,6.362,-100,34.65,100.82,1.058213,0.668737,11.9764,0.4128
62,-100,-120.0,40,1.5,4.5,-80.75,7.2547,-100,36.98,97.28,1.134714,0.65649,7.8867,0.4894
65,-100,-120.0,40,1.5,6.0,-79.92,8.4362,-100,36.89,97.36,1.163626,0.697872,12.4487,0.4421
66,-100,-120.0,40,1.5,6.5,-80.33,8.0177,-100,36.55,97.93,1.125438,0.678118,10.6047,0.5053
64,-100,-120.0,40,1.5,5.5,-81.71,7.8085,-100,34.33,101.34,1.048409,0.645639,10.673,0.4999
63,-100,-120.0,40,1.5,5.0,-80.31,7.7772,-100,36.28,98.34,1.14046,0.609364,5.8631,0.5496
67,-100,-120.0,40,1.5,7.0,-81.22,8.8382,-100,39.45,93.42,1.233138,0.721689,9.4115,0.4535
68,-100,-120.0,40,1.5,7.5,-79.82,9.2016,-100,37.78,96.02,1.180586,0.706,8.0468,0.528
70,-100,-120.0,40,1.5,8.5,-80.35,9.8164,-100,39.18,93.81,1.23425,0.767102,12.8075,0.4457
69,-100,-120.0,40,1.5,8.0,-81.51,9.5656,-100,36.32,98.27,1.140611,0.682074,11.5399,0.4799
71,-100,-120.0,40,1.5,9.0,-80.95,10.5269,-100,34.84,100.6,1.074067,0.619456,6.6765,0.5478
72,-100,-120.0,40,1.5,9.5,-80.41,11.35,-100,38.26,95.23,1.142454,0.716878,10.4019,0.4552
73,-100,-120.0,40,1.5,10.0,-80.45,10.9624,-100,38.79,94.47,1.198533,0.69594,10.2787,0.4496
74,-100,-120.0,40,1.5,10.5,-79.49,11.4966,-100,36.26,98.37,1.112251,0.641405,9.1219,0.5339
75,-100,-120.0,40,1.5,11.0,-80.35,11.7432,-100,36.36,98.18,1.122429,0.663954,8.0586,0.4996
77,-100,-120.0,40,1.5,12.0,-80.15,12.2353,-100,35.63,99.35,1.113201,0.67826,9.9678,0.5086
78,-100,-120.0,40,1.5,12.5,-80.54,12.7873,-100,36.32,98.26,1.134069,0.657582,9.7433,0.5284
76,-100,-120.0,40,1.5,11.5,-81.04,12.0879,-100,35.23,99.91,1.098114,0.661097,11.5094,0.479
80,-100,-120.0,40,1.5,13.5,-80.4,13.3754,-100,37.42,96.59,1.150164,0.666741,8.5251,0.4882
79,-100,-120.0,40,1.5,13.0,-78.82,13.4679,-100,35.47,99.6,1.120763,0.700069,11.891,0.3972
81,-100,-120.0,40,1.5,14.0,-80.13,13.8097,-100,35.11,100.14,1.086847,0.749348,16.5895,0.3774
82,-100,-120.0,40,1.75,1.0,-77.08,6.4401,-90,34.51,101.03,1.094743,0.616512,7.5278,0.555
83,-100,-120.0,40,1.75,1.5,-76.95,6.7382,-90,35.14,100.09,1.125284,0.680687,12.0435,0.4526
84,-100,-120.0,40,1.75,2.0,-77.5,6.5622,-92,31.22,106.08,1.018656,0.614135,10.7085,0.47
85,-100,-120.0,40,1.75,2.5,-77.48,6.5807,-96,36.96,97.23,1.149534,0.665975,9.01,0.4988
87,-100,-120.0,40,1.75,3.5,-77.12,6.6492,-96,36.24,98.34,1.12964,0.711579,13.2323,0.4414
86,-100,-120.0,40,1.75,3.0,-77.26,7.5055,-99,32.07,104.82,1.027241,0.60374,9.4219,0.546
93,-100,-120.0,40,1.75,6.5,-78.0,8.8341,-100,38.53,94.87,1.206714,0.72969,11.4995,0.4714
90,-100,-120.0,40,1.75,5.0,-77.85,8.737,-100,34.25,101.45,1.081109,0.663622,11.3669,0.4567
88,-100,-120.0,40,1.75,4.0,-77.11,7.255,-100,36.1,98.59,1.125872,0.639309,8.7967,0.469
92,-100,-120.0,40,1.75,6.0,-77.47,8.6517,-100,33.97,101.84,1.037942,0.672607,13.4172,0.4281
89,-100,-120.0,40,1.75,4.5,-78.13,7.7918,-100,33.34,102.8,1.057394,0.616411,9.4417,0.539
91,-100,-120.0,40,1.75,5.5,-78.38,8.8466,-100,33.76,102.17,1.064602,0.594984,6.9311,0.5568
94,-100,-120.0,40,1.75,7.0,-77.32,8.9865,-100,34.29,101.35,1.072003,0.650125,8.8839,0.5178
95,-100,-120.0,40,1.75,7.5,-77.88,9.8051,-100,37.03,97.16,1.159699,0.659993,7.5951,0.4913
96,-100,-120.0,40,1.75,8.0,-77.11,9.9219,-100,32.88,103.57,1.035113,0.615435,8.5696,0.5615
98,-100,-120.0,40,1.75,9.0,-77.75,10.4616,-100,37.53,96.38,1.200503,0.730506,11.609,0.4453
102,-100,-120.0,40,1.75,11.0,-77.38,12.0939,-100,38.21,95.37,1.198284,0.763711,13.5966,0.4419
97,-100,-120.0,40,1.75,8.5,-78.19,10.4776,-100,33.43,102.73,1.021667,0.602709,9.4651,0.5239
101,-100,-120.0,40,1.75,10.5,-77.39,11.8984,-100,35.37,99.7,1.063198,0.624274,8.9657,0.5413
103,-100,-120.0,40,1.75,11.5,-76.52,12.5397,-100,36.67,97.74,1.140653,0.709599,12.7722,0.4244
99,-100,-120.0,40,1.75,9.5,-77.4,10.9192,-100,32.82,103.62,1.044817,0.606783,10.5029,0.5098
100,-100,-120.0,40,1.75,10.0,-77.76,11.4465,-100,34.01,101.85,1.066399,0.619326,8.3736,0.526
106,-100,-120.0,40,1.75,13.0,-77.89,14.0045,-100,34.18,101.55,1.096977,0.644184,8.9982,0.5189
104,-100,-120.0,40,1.75,12.0,-77.84,12.8294,-100,36.49,97.97,1.130644,0.688553,11.8627,0.4476
105,-100,-120.0,40,1.75,12.5,-76.93,13.565,-100,36.16,98.5,1.098853,0.702863,12.8346,0.442
107,-100,-120.0,40,1.75,13.5,-76.87,14.1854,-100,36.85,97.46,1.166819,0.669428,9.3185,0.4851
108,-100,-120.0,40,1.75,14.0,-77.36,14.3539,-100,35.13,100.16,1.10979,0.595384,4.6175,0.562
111,-100,-120.0,40,2.0,2.0,-74.53,7.1447,-91,37.87,95.87,1.188267,0.956651,22.1444,0.3173
109,-100,-120.0,40,2.0,1.0,-75.5,7.3513,-90,35.48,99.56,1.108367,0.736007,14.6085,0.4284
110,-100,-120.0,40,2.0,1.5,-75.39,6.9595,-91,35.82,99.08,1.135549,0.719025,13.8288,0.4797
112,-100,-120.0,40,2.0,2.5,-76.1,7.1665,-96,34.01,101.8,1.094726,0.666291,11.3147,0.5334
113,-100,-120.0,40,2.0,3.0,-73.82,7.6475,-96,34.36,101.3,1.060552,0.767259,17.849,0.3629
115,-100,-120.0,40,2.0,4.0,-74.92,8.5992,-100,38.05,95.59,1.192006,0.852316,17.5732,0.3653
118,-100,-120.0,40,2.0,5.5,-74.46,9.1892,-100,35.36,99.76,1.126822,0.74024,16.156,0.4078
116,-100,-120.0,40,2.0,4.5,-74.29,8.8804,-100,33.24,102.99,1.058413,0.668357,13.678,0.5179
114,-100,-120.0,40,2.0,3.5,-73.94,9.2848,-98,33.04,103.34,1.04895,0.599942,8.1801,0.5037
117,-100,-120.0,40,2.0,5.0,-74.37,9.4054,-100,34.88,100.5,1.070307,0.603338,8.0808,0.544
119,-100,-120.0,40,2.0,6.0,-75.11,9.3959,-100,36.44,98.12,1.155211,0.655248,8.3207,0.5003
120,-100,-120.0,40,2.0,6.5,-74.68,9.969,-100,36.88,97.39,1.163728,0.772217,16.2992,0.4826
121,-100,-120.0,40,2.0,7.0,-75.77,10.0993,-100,34.13,101.6,1.048982,0.646173,11.4362,0.5351
122,-100,-120.0,40,2.0,7.5,-74.75,9.7946,-100,36.07,98.64,1.159402,0.729439,12.4864,0.4123
123,-100,-120.0,40,2.0,8.0,-73.75,10.4495,-100,36.39,98.11,1.127523,0.710588,12.3912,0.4266
124,-100,-120.0,40,2.0,8.5,-74.62,11.5953,-100,34.62,100.89,1.092143,0.597057,6.0171,0.5856
126,-100,-120.0,40,2.0,9.5,-73.83,11.6096,-100,32.71,103.78,1.056105,0.637707,10.9021,0.5342
125,-100,-120.0,40,2.0,9.0,-74.13,11.9656,-100,34.61,100.88,1.100393,0.626808,7.7565,0.5483
128,-100,-120.0,40,2.0,10.5,-73.85,12.5407,-100,34.33,101.34,1.089216,0.634934,9.4587,0.4768
129,-100,-120.0,40,2.0,11.0,-74.53,12.8139,-100,37.99,95.69,1.148989,0.737174,12.471,0.4275
127,-100,-120.0,40,2.0,10.0,-74.68,11.7211,-100,35.1,100.16,1.094464,0.676299,11.4572,0.4657
131,-100,-120.0,40,2.0,12.0,-74.98,14.1004,-100,33.76,102.26,1.028771,0.655748,12.0687,0.4276
130,-100,-120.0,40,2.0,11.5,-73.33,13.3961,-100,32.45,104.24,1.009551,0.651694,12.7877,0.4895
132,-100,-120.0,40,2.0,12.5,-73.98,14.4391,-100,34.53,101.0,1.065457,0.654801,12.0537,0.488
133,-100,-120.0,40,2.0,13.0,-74.25,14.2975,-100,36.74,97.61,1.148531,0.709782,10.9009,0.458
134,-100,-120.0,40,2.0,13.5,-73.16,14.6187,-100,32.7,103.86,1.047091,0.66327,12.0282,0.4754
135,-100,-120.0,40,2.0,14.0,-74.59,14.9782,-100,34.41,101.21,1.087775,0.629833,8.762,0.5334
136,-100,-120.0,40,2.25,1.0,-70.79,8.0674,-86,34.19,101.52,1.031,0.664629,11.0789,0.4438
140,-100,-120.0,40,2.25,3.0,-71.23,9.0116,-93,34.85,100.52,1.108211,0.752642,15.9927,0.3924
137,-100,-120.0,40,2.25,1.5,-72.09,7.8178,-86,34.84,100.57,1.115942,0.708934,13.8703,0.4664
141,-100,-120.0,40,2.25,3.5,-71.08,10.1833,-99,36.07,98.62,1.140501,0.69966,10.9684,0.414
139,-100,-120.0,40,2.25,2.5,-72.6,8.2072,-94,35.68,99.27,1.13452,0.766178,16.3454,0.4225
138,-100,-120.0,40,2.25,2.0,-71.8,8.3358,-90,32.25,104.57,1.045264,0.62981,12.345,0.4905
143,-100,-120.0,40,2.25,4.5,-69.89,9.9912,-99,35.7,99.24,1.133619,0.761065,15.5013,0.4202
142,-100,-120.0,40,2.25,4.0,-70.94,8.722,-95,33.73,102.28,1.083301,0.635387,8.8309,0.4983
144,-100,-120.0,40,2.25,5.0,-71.35,9.9345,-100,30.65,107.01,1.001327,0.575696,7.4139,0.5637
145,-100,-120.0,40,2.25,5.5,-72.26,9.8214,-100,31.52,105.67,1.006658,0.551292,5.5252,0.6128
146,-100,-120.0,40,2.25,6.0,-72.6,10.3671,-100,33.33,102.9,1.058118,0.616157,8.3475,0.5773
147,-100,-120.0,40,2.25,6.5,-72.14,9.4997,-100,32.34,104.42,1.02678,0.675127,14.3227,0.4596
148,-100,-120.0,40,2.25,7.0,-70.81,11.3891,-100,34.6,100.95,1.078113,0.667335,11.9876,0.5139
