id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA
1,-100,-60.0,25.0,2.0,1.0
2,-100,-60.0,25.0,2.0,1.5
3,-100,-60.0,25.0,2.0,2.0
4,-100,-60.0,25.0,2.0,2.5
5,-100,-60.0,25.0,2.0,3.0
6,-100,-60.0,25.0,2.0,3.5
7,-100,-60.0,25.0,2.0,4.0
8,-100,-60.0,25.0,2.0,4.5
9,-100,-60.0,25.0,2.0,5.0
10,-100,-60.0,25.0,2.0,5.5
11,-100,-60.0,25.0,2.0,6.0
12,-100,-60.0,25.0,2.0,6.5
13,-100,-60.0,25.0,2.0,7.0
14,-100,-60.0,25.0,2.0,7.5
15,-100,-60.0,25.0,2.0,8.0
16,-100,-60.0,25.0,2.0,8.5
17,-100,-60.0,25.0,2.0,9.0
18,-100,-60.0,25.0,2.0,9.5
19,-100,-60.0,25.0,2.0,10.0
20,-100,-60.0,25.0,2.25,1.0
21,-100,-60.0,25.0,2.25,1.5
22,-100,-60.0,25.0,2.25,2.0
23,-100,-60.0,25.0,2.25,2.5
24,-100,-60.0,25.0,2.25,3.0
25,-100,-60.0,25.0,2.25,3.5
26,-100,-60.0,25.0,2.25,4.0
27,-100,-60.0,25.0,2.25,4.5
28,-100,-60.0,25.0,2.25,5.0
29,-100,-60.0,25.0,2.25,5.5
30,-100,-60.0,25.0,2.25,6.0
31,-100,-60.0,25.0,2.25,6.5
32,-100,-60.0,25.0,2.25,7.0
33,-100,-60.0,25.0,2.25,7.5
34,-100,-60.0,25.0,2.25,8.0
35,-100,-60.0,25.0,2.25,8.5
36,-100,-60.0,25.0,2.25,9.0
37,-100,-60.0,25.0,2.25,9.5
38,-100,-60.0,25.0,2.25,10.0
39,-100,-60.0,25.0,2.5,1.0
40,-100,-60.0,25.0,2.5,1.5
41,-100,-60.0,25.0,2.5,2.0
42,-100,-60.0,25.0,2.5,2.5
43,-100,-60.0,25.0,2.5,3.0
44,-100,-60.0,25.0,2.5,3.5
45,-100,-60.0,25.0,2.5,4.0
46,-100,-60.0,25.0,2.5,4.5
47,-100,-60.0,25.0,2.5,5.0
48,-100,-60.0,25.0,2.5,5.5
49,-100,-60.0,25.0,2.5,6.0
50,-100,-60.0,25.0,2.5,6.5
51,-100,-60.0,25.0,2.5,7.0
52,-100,-60.0,25.0,2.5,7.5
53,-100,-60.0,25.0,2.5,8.0
54,-100,-60.0,25.0,2.5,8.5
55,-100,-60.0,25.0,2.5,9.0
56,-100,-60.0,25.0,2.5,9.5
57,-100,-60.0,25.0,2.5,10.0
58,-100,-60.0,25.0,2.75,1.0
59,-100,-60.0,25.0,2.75,1.5
60,-100,-60.0,25.0,2.75,2.0
61,-100,-60.0,25.0,2.75,2.5
62,-100,-60.0,25.0,2.75,3.0
63,-100,-60.0,25.0,2.75,3.5
64,-100,-60.0,25.0,2.75,4.0
65,-100,-60.0,25.0,2.75,4.5
66,-100,-60.0,25.0,2.75,5.0
67,-100,-60.0,25.0,2.75,5.5
68,-100,-60.0,25.0,2.75,6.0
69,-100,-60.0,25.0,2.75,6.5
70,-100,-60.0,25.0,2.75,7.0
71,-100,-60.0,25.0,2.75,7.5
72,-100,-60.0,25.0,2.75,8.0
73,-100,-60.0,25.0,2.75,8.5
74,-100,-60.0,25.0,2.75,9.0
75,-100,-60.0,25.0,2.75,9.5
76,-100,-60.0,25.0,2.75,10.0
77,-100,-60.0,25.0,3.0,1.0
78,-100,-60.0,25.0,3.0,1.5
79,-100,-60.0,25.0,3.0,2.0
80,-100,-60.0,25.0,3.0,2.5
81,-100,-60.0,25.0,3.0,3.0
82,-100,-60.0,25.0,3.0,3.5
83,-100,-60.0,25.0,3.0,4.0
84,-100,-60.0,25.0,3.0,4.5
85,-100,-60.0,25.0,3.0,5.0
86,-100,-60.0,25.0,3.0,5.5
87,-100,-60.0,25.0,3.0,6.0
88,-100,-60.0,25.0,3.0,6.5
89,-100,-60.0,25.0,3.0,7.0
90,-100,-60.0,25.0,3.0,7.5
91,-100,-60.0,25.0,3.0,8.0
92,-100,-60.0,25.0,3.0,8.5
93,-100,-60.0,25.0,3.0,9.0
94,-100,-60.0,25.0,3.0,9.5
95,-100,-60.0,25.0,3.0,10.0
96,-100,-60.0,25.0,3.25,1.0
97,-100,-60.0,25.0,3.25,1.5
98,-100,-60.0,25.0,3.25,2.0
99,-100,-60.0,25.0,3.25,2.5
100,-100,-60.0,25.0,3.25,3.0
101,-100,-60.0,25.0,3.25,3.5
102,-100,-60.0,25.0,3.25,4.0
103,-100,-60.0,25.0,3.25,4.5
104,-100,-60.0,25.0,3.25,5.0
105,-100,-60.0,25.0,3.25,5.5
106,-100,-60.0,25.0,3.25,6.0
107,-100,-60.0,25.0,3.25,6.5
108,-100,-60.0,25.0,3.25,7.0
109,-100,-60.0,25.0,3.25,7.5
110,-100,-60.0,25.0,3.25,8.0
111,-100,-60.0,25.0,3.25,8.5
112,-100,-60.0,25.0,3.25,9.0
113,-100,-60.0,25.0,3.25,9.5
114,-100,-60.0,25.0,3.25,10.0
115,-100,-60.0,25.0,3.5,1.0
116,-100,-60.0,25.0,3.5,1.5
117,-100,-60.0,25.0,3.5,2.0
118,-100,-60.0,25.0,3.5,2.5
119,-100,-60.0,25.0,3.5,3.0
120,-100,-60.0,25.0,3.5,3.5
121,-100,-60.0,25.0,3.5,4.0
122,-100,-60.0,25.0,3.5,4.5
123,-100,-60.0,25.0,3.5,5.0
124,-100,-60.0,25.0,3.5,5.5
125,-100,-60.0,25.0,3.5,6.0
126,-100,-60.0,25.0,3.5,6.5
127,-100,-60.0,25.0,3.5,7.0
128,-100,-60.0,25.0,3.5,7.5
129,-100,-60.0,25.0,3.5,8.0
130,-100,-60.0,25.0,3.5,8.5
131,-100,-60.0,25.0,3.5,9.0
132,-100,-60.0,25.0,3.5,9.5
133,-100,-60.0,25.0,3.5,10.0
134,-100,-60.0,25.0,3.75,1.0
135,-100,-60.0,25.0,3.75,1.5
136,-100,-60.0,25.0,3.75,2.0
137,-100,-60.0,25.0,3.75,2.5
138,-100,-60.0,25.0,3.75,3.0
139,-100,-60.0,25.0,3.75,3.5
140,-100,-60.0,25.0,3.75,4.0
141,-100,-60.0,25.0,3.75,4.5
142,-100,-60.0,25.0,3.75,5.0
143,-100,-60.0,25.0,3.75,5.5
144,-100,-60.0,25.0,3.75,6.0
145,-100,-60.0,25.0,3.75,6.5
146,-100,-60.0,25.0,3.75,7.0
147,-100,-60.0,25.0,3.75,7.5
148,-100,-60.0,25.0,3.75,8.0
149,-100,-60.0,25.0,3.75,8.5
150,-100,-60.0,25.0,3.75,9.0
151,-100,-60.0,25.0,3.75,9.5
152,-100,-60.0,25.0,3.75,10.0
153,-100,-60.0,25.0,4.0,1.0
154,-100,-60.0,25.0,4.0,1.5
155,-100,-60.0,25.0,4.0,2.0
156,-100,-60.0,25.0,4.0,2.5
157,-100,-60.0,25.0,4.0,3.0
158,-100,-60.0,25.0,4.0,3.5
159,-100,-60.0,25.0,4.0,4.0
160,-100,-60.0,25.0,4.0,4.5
161,-100,-60.0,25.0,4.0,5.0
162,-100,-60.0,25.0,4.0,5.5
163,-100,-60.0,25.0,4.0,6.0
164,-100,-60.0,25.0,4.0,6.5
165,-100,-60.0,25.0,4.0,7.0
166,-100,-60.0,25.0,4.0,7.5
167,-100,-60.0,25.0,4.0,8.0
168,-100,-60.0,25.0,4.0,8.5
169,-100,-60.0,25.0,4.0,9.0
170,-100,-60.0,25.0,4.0,9.5
171,-100,-60.0,25.0,4.0,10.0
172,-100,-60.0,40.0,2.0,1.0
173,-100,-60.0,40.0,2.0,1.5
174,-100,-60.0,40.0,2.0,2.0
175,-100,-60.0,40.0,2.0,2.5
176,-100,-60.0,40.0,2.0,3.0
177,-100,-60.0,40.0,2.0,3.5
178,-100,-60.0,40.0,2.0,4.0
179,-100,-60.0,40.0,2.0,4.5
180,-100,-60.0,40.0,2.0,5.0
181,-100,-60.0,40.0,2.0,5.5
182,-100,-60.0,40.0,2.0,6.0
183,-100,-60.0,40.0,2.0,6.5
184,-100,-60.0,40.0,2.0,7.0
185,-100,-60.0,40.0,2.0,7.5
186,-100,-60.0,40.0,2.0,8.0
187,-100,-60.0,40.0,2.0,8.5
188,-100,-60.0,40.0,2.0,9.0
189,-100,-60.0,40.0,2.0,9.5
190,-100,-60.0,40.0,2.0,10.0
191,-100,-60.0,40.0,2.25,1.0
192,-100,-60.0,40.0,2.25,1.5
193,-100,-60.0,40.0,2.25,2.0
194,-100,-60.0,40.0,2.25,2.5
195,-100,-60.0,40.0,2.25,3.0
196,-100,-60.0,40.0,2.25,3.5
197,-100,-60.0,40.0,2.25,4.0
198,-100,-60.0,40.0,2.25,4.5
199,-100,-60.0,40.0,2.25,5.0
200,-100,-60.0,40.0,2.25,5.5
201,-100,-60.0,40.0,2.25,6.0
202,-100,-60.0,40.0,2.25,6.5
203,-100,-60.0,40.0,2.25,7.0
204,-100,-60.0,40.0,2.25,7.5
205,-100,-60.0,40.0,2.25,8.0
206,-100,-60.0,40.0,2.25,8.5
207,-100,-60.0,40.0,2.25,9.0
208,-100,-60.0,40.0,2.25,9.5
209,-100,-60.0,40.0,2.25,10.0
210,-100,-60.0,40.0,2.5,1.0
211,-100,-60.0,40.0,2.5,1.5
212,-100,-60.0,40.0,2.5,2.0
213,-100,-60.0,40.0,2.5,2.5
214,-100,-60.0,40.0,2.5,3.0
215,-100,-60.0,40.0,2.5,3.5
216,-100,-60.0,40.0,2.5,4.0
217,-100,-60.0,40.0,2.5,4.5
218,-100,-60.0,40.0,2.5,5.0
219,-100,-60.0,40.0,2.5,5.5
220,-100,-60.0,40.0,2.5,6.0
