id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA
1,-100,-120.0,30.0,1.0,1.0
2,-100,-120.0,30.0,1.0,2.5
3,-100,-120.0,30.0,1.0,4.0
4,-100,-120.0,30.0,1.0,5.5
5,-100,-120.0,30.0,1.0,7.0
6,-100,-120.0,30.0,1.0,8.5
7,-100,-120.0,30.0,1.0,10.0
8,-100,-120.0,30.0,1.0,11.5
9,-100,-120.0,30.0,1.0,13.0
10,-100,-120.0,30.0,1.25,1.0
11,-100,-120.0,30.0,1.25,2.5
12,-100,-120.0,30.0,1.25,4.0
13,-100,-120.0,30.0,1.25,5.5
14,-100,-120.0,30.0,1.25,7.0
15,-100,-120.0,30.0,1.25,8.5
16,-100,-120.0,30.0,1.25,10.0
17,-100,-120.0,30.0,1.25,11.5
18,-100,-120.0,30.0,1.25,13.0
19,-100,-120.0,30.0,1.5,1.0
20,-100,-120.0,30.0,1.5,2.5
21,-100,-120.0,30.0,1.5,4.0
22,-100,-120.0,30.0,1.5,5.5
23,-100,-120.0,30.0,1.5,7.0
24,-100,-120.0,30.0,1.5,8.5
25,-100,-120.0,30.0,1.5,10.0
26,-100,-120.0,30.0,1.5,11.5
27,-100,-120.0,30.0,1.5,13.0
28,-100,-120.0,30.0,1.75,1.0
29,-100,-120.0,30.0,1.75,2.5
30,-100,-120.0,30.0,1.75,4.0
31,-100,-120.0,30.0,1.75,5.5
32,-100,-120.0,30.0,1.75,7.0
33,-100,-120.0,30.0,1.75,8.5
34,-100,-120.0,30.0,1.75,10.0
35,-100,-120.0,30.0,1.75,11.5
36,-100,-120.0,30.0,1.75,13.0
37,-100,-120.0,30.0,2.0,1.0
38,-100,-120.0,30.0,2.0,2.5
39,-100,-120.0,30.0,2.0,4.0
40,-100,-120.0,30.0,2.0,5.5
41,-100,-120.0,30.0,2.0,7.0
42,-100,-120.0,30.0,2.0,8.5
43,-100,-120.0,30.0,2.0,10.0
44,-100,-120.0,30.0,2.0,11.5
45,-100,-120.0,30.0,2.0,13.0
46,-100,-120.0,30.0,2.25,1.0
47,-100,-120.0,30.0,2.25,2.5
