id,CSMA_MIN_BE,CSMA_MAX_BE,CSMA_MAX_BACKOFF,CSMA_MAX_FRAME_RETRIES
1,0,3,1,0
2,0,3,1,10
3,0,3,4,7
4,0,3,10,5
5,0,3,10,10
6,0,4,1,5
7,0,4,4,3
8,0,4,6,0
9,0,4,8,3
10,0,4,8,7
11,0,5,2,1
12,0,5,2,10
13,0,5,6,10
14,0,5,10,1
15,0,5,10,10
16,0,6,5,5
17,0,6,8,3
18,0,6,8,7
19,0,7,6,0
20,0,8,1,0
21,0,8,1,10
22,0,8,2,5
23,0,8,5,10
24,0,8,8,5
25,0,8,10,0
26,0,8,10,10
27,1,3,4,1
28,1,3,6,5
29,1,3,6,10
30,1,3,10,0
31,1,5,4,7
32,1,5,10,5
33,1,6,1,5
34,1,6,4,2
35,1,7,1,2
36,1,7,3,10
37,1,7,6,7
38,1,7,8,10
39,1,7,10,3
40,1,7,10,7
41,1,8,5,3
42,2,3,1,1
43,2,3,1,5
44,2,3,3,10
45,2,3,10,5
46,2,4,4,5
47,2,4,6,2
48,2,4,10,10
49,2,5,1,0
50,2,5,8,7
51,2,5,10,0
52,2,6,1,10
53,2,6,6,0
54,2,6,6,10
55,2,6,10,10
56,2,7,4,5
57,2,8,1,5
58,2,8,1,10
59,2,8,3,0
60,2,8,5,10
61,2,8,8,5
62,2,8,10,0
63,2,8,10,10
64,3,3,4,0
65,3,3,6,5
66,3,3,8,0
67,3,3,8,10
68,3,4,2,7
69,3,5,3,10
70,3,5,5,7
71,3,5,8,3
72,3,6,4,3
73,3,6,10,5
74,3,7,6,7
75,3,7,8,2
76,3,7,8,10
77,3,8,3,3
78,3,8,3,7
79,4,4,1,10
80,4,4,2,0
81,4,4,4,5
82,4,4,5,10
83,4,4,8,7
84,4,4,10,3
85,4,5,1,3
86,4,5,6,1
87,4,5,10,0
88,4,5,10,10
89,4,6,2,7
90,4,6,3,0
91,4,6,8,7
92,4,7,5,10
93,4,7,10,0
94,4,8,1,0
95,4,8,1,5
96,4,8,1,10
97,4,8,5,5
98,4,8,6,0
99,4,8,10,5
100,4,8,10,10
