id,CSMA_MIN_BE,CSMA_MAX_BE,CSMA_MAX_BACKOFF,CSMA_MAX_FRAME_RETRIES,RSSI_INFLECTION_POINT,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
1,0,3,1,0,-77.7012,2.931,7.5984,-56.73,11.2914,-92,14.55,34.19,0.062653,0.023624,11.5627,0.5903
11,0,5,2,1,-77.7012,2.931,7.5984,-57.13,10.4963,-94,6.88,37.25,0.071945,0.031035,6.7034,0.8224
12,0,5,2,10,-77.7012,2.931,7.5984,-57.57,10.6236,-97,4.77,38.08,0.072525,0.033006,5.4496,0.8512
3,0,3,4,7,-77.7012,2.931,7.5984,-56.32,10.7394,-93,3.93,38.43,0.071254,0.030571,4.318,0.8915
10,0,4,8,7,-77.7012,2.931,7.5984,-57.81,10.4619,-99,4.99,38.01,0.07627,0.037742,5.0069,0.8421
5,0,3,10,10,-77.7012,2.931,7.5984,-57.26,10.8562,-97,6.3,37.49,0.0746,0.036077,7.6241,0.788
13,0,5,6,10,-77.7012,2.931,7.5984,-57.35,10.3997,-94,8.47,36.61,0.089424,0.054521,8.338,0.7471
7,0,4,4,3,-77.7012,2.931,7.5984,-57.21,10.3145,-94,6.72,37.31,0.074526,0.036365,5.715,0.8452
8,0,4,6,0,-77.7012,2.931,7.5984,-56.77,10.3658,-98,12.07,35.18,0.081569,0.037871,8.8825,0.7064
6,0,4,1,5,-77.7012,2.931,7.5984,-57.84,10.529,-95,7.2,37.12,0.073043,0.031863,5.3169,0.8508
9,0,4,8,3,-77.7012,2.931,7.5984,-56.47,10.6286,-97,3.94,38.43,0.070337,0.031097,4.6796,0.8776
4,0,3,10,5,-77.7012,2.931,7.5984,-56.54,10.8386,-95,5.81,37.69,0.073471,0.034233,5.5123,0.8174
2,0,3,1,10,-77.7012,2.931,7.5984,-56.73,10.81,-95,6.85,37.26,0.07354,0.03388,7.2157,0.8037
14,0,5,10,1,-77.7012,2.931,7.5984,-56.85,11.1553,-100,7.38,37.07,0.075512,0.037379,5.5411,0.8334
16,0,6,5,5,-77.7012,2.931,7.5984,-58.72,10.7829,-95,5.99,37.61,0.072847,0.033781,5.7081,0.8338
15,0,5,10,10,-77.7012,2.931,7.5984,-57.32,10.6747,-94,4.36,38.26,0.074957,0.039728,4.7683,0.8722
20,0,8,1,0,-77.7012,2.931,7.5984,-56.42,10.4801,-94,21.41,31.45,0.070557,0.026955,12.151,0.5993
18,0,6,8,7,-77.7012,2.931,7.5984,-57.57,10.762,-95,3.35,38.66,0.073998,0.034695,3.2675,0.8988
17,0,6,8,3,-77.7012,2.931,7.5984,-57.7,10.8659,-96,5.68,37.73,0.07657,0.035047,6.0754,0.8385
25,0,8,10,0,-77.7012,2.931,7.5984,-58.66,10.0262,-99,9.58,36.18,0.072349,0.031585,7.6975,0.7151
19,0,7,6,0,-77.7012,2.931,7.5984,-57.01,10.7962,-95,16.78,33.29,0.076741,0.036101,16.2547,0.5863
22,0,8,2,5,-77.7012,2.931,7.5984,-57.62,11.0031,-98,9.44,36.23,0.074387,0.034167,9.3792,0.7338
24,0,8,8,5,-77.7012,2.931,7.5984,-56.67,10.6166,-96,5.97,37.62,0.07583,0.041844,6.9208,0.8174
21,0,8,1,10,-77.7012,2.931,7.5984,-57.85,10.7883,-96,5.46,37.82,0.072531,0.031992,6.0546,0.8184
23,0,8,5,10,-77.7012,2.931,7.5984,-57.13,10.4827,-98,4.97,38.02,0.079826,0.038438,4.8288,0.8508
26,0,8,10,10,-77.7012,2.931,7.5984,-57.18,10.2854,-95,5.83,37.66,0.076316,0.05214,5.8211,0.8348
30,1,3,10,0,-77.7012,2.931,7.5984,-56.44,11.2285,-95,16.54,33.37,0.078856,0.038212,11.3564,0.6405
28,1,3,6,5,-77.7012,2.931,7.5984,-56.89,10.5353,-92,5.3,37.89,0.086949,0.044203,5.2255,0.8602
27,1,3,4,1,-77.7012,2.931,7.5984,-57.15,10.7113,-94,6.35,37.48,0.082285,0.042645,5.9059,0.8334
29,1,3,6,10,-77.7012,2.931,7.5984,-57.46,10.8601,-95,3.39,38.64,0.077753,0.039129,3.4411,0.9018
31,1,5,4,7,-77.7012,2.931,7.5984,-58.44,10.2568,-96,4.89,38.06,0.090973,0.056061,4.6816,0.8726
33,1,6,1,5,-77.7012,2.931,7.5984,-57.71,10.3691,-94,5.45,37.83,0.074738,0.033448,6.6287,0.8104
32,1,5,10,5,-77.7012,2.931,7.5984,-56.59,10.6625,-93,6.02,37.61,0.084383,0.047995,5.9234,0.8211
